"playerid","birthyear","birthcountry","deathyear","namefirst","namelast","weight","height","bats","throws"
"aardsda01",1981,"USA",NULL,"David","Aardsma",215,75,"R","R"
"aaronha01",1934,"USA",NULL,"Hank","Aaron",180,72,"R","R"
"aaronto01",1939,"USA",1984,"Tommie","Aaron",190,75,"R","R"
"aasedo01",1954,"USA",NULL,"Don","Aase",190,75,"R","R"
"abadan01",1972,"USA",NULL,"Andy","Abad",184,73,"L","L"
"abadfe01",1985,"D.R.",NULL,"Fernando","Abad",220,73,"L","L"
"abadijo01",1850,"USA",1905,"John","Abadie",192,72,"R","R"
"abbated01",1877,"USA",1957,"Ed","Abbaticchio",170,71,"R","R"
"abbeybe01",1869,"USA",1962,"Bert","Abbey",175,71,"R","R"
"abbeych01",1866,"USA",1926,"Charlie","Abbey",169,68,"L","L"
"abbotda01",1862,"USA",1930,"Dan","Abbott",190,71,"R","R"
"abbotfr01",1874,"USA",1935,"Fred","Abbott",180,70,"R","R"
"abbotgl01",1951,"USA",NULL,"Glenn","Abbott",200,78,"R","R"
"abbotje01",1972,"USA",NULL,"Jeff","Abbott",190,74,"R","L"
"abbotji01",1967,"USA",NULL,"Jim","Abbott",200,75,"L","L"
"abbotku01",1969,"USA",NULL,"Kurt","Abbott",180,71,"R","R"
"abbotky01",1968,"USA",NULL,"Kyle","Abbott",200,76,"L","L"
"abbotod01",1886,"USA",1933,"Ody","Abbott",165,69,"L","R"
"abbotpa01",1967,"USA",NULL,"Paul","Abbott",185,75,"R","R"
"aberal01",1927,"USA",1993,"Al","Aber",195,74,"L","L"
"abercda01",1850,"USA",1939,"Frank","Abercrombie",NULL,NULL,NULL,NULL
"abercre01",1980,"USA",NULL,"Reggie","Abercrombie",215,75,"R","R"
"abernbi01",1929,"USA",2006,"Bill","Abernathie",190,70,"R","R"
"abernbr01",1977,"USA",NULL,"Brent","Abernathy",185,73,"R","R"
"abernte01",1921,"USA",2001,"Ted","Abernathy",210,74,"R","L"
"abernte02",1933,"USA",2004,"Ted","Abernathy",215,76,"R","R"
"abernwo01",1915,"USA",1994,"Woody","Abernathy",170,72,"L","L"
"aberscl01",1921,"USA",1973,"Cliff","Aberson",200,72,"R","R"
"ablesha01",1883,"USA",1951,"Harry","Ables",200,74,"R","L"
"abnersh01",1966,"USA",NULL,"Shawn","Abner",190,73,"R","R"
"abramca01",1924,"USA",1997,"Cal","Abrams",185,72,"L","L"
"abramge01",1899,"USA",1986,"George","Abrams",170,69,"R","R"
"abregjo01",1962,"USA",NULL,"Johnny","Abrego",185,72,"R","R"
"abreubo01",1974,"Venezuela",NULL,"Bobby","Abreu",220,72,"L","R"
"abreujo01",1913,"USA",1993,"Joe","Abreu",160,68,"R","R"
"abreujo02",1987,"Cuba",NULL,"Jose","Abreu",255,75,"R","R"
"abreuju01",1985,"D.R.",NULL,"Juan","Abreu",185,72,"R","R"
"abreuto01",1984,"D.R.",NULL,"Tony","Abreu",200,70,"B","R"
"abreuwi01",1977,"D.R.",NULL,"Winston","Abreu",170,74,"R","R"
"abstebi01",1883,"USA",1940,"Bill","Abstein",185,72,"R","R"
"accarje01",1981,"USA",NULL,"Jeremy","Accardo",195,72,"R","R"
"aceveal01",1982,"Mexico",NULL,"Alfredo","Aceves",205,74,"R","R"
"acevejo01",1977,"D.R.",NULL,"Jose","Acevedo",185,72,"R","R"
"aceveju01",1970,"Mexico",NULL,"Juan","Acevedo",245,74,"R","R"
"achteaj01",1988,"USA",NULL,"A. J.","Achter",215,77,"R","R"
"ackerji01",1958,"USA",NULL,"Jim","Acker",210,74,"R","R"
"ackerto01",1930,"USA",NULL,"Tom","Acker",215,76,"R","R"
"ackledu01",1988,"USA",NULL,"Dustin","Ackley",205,73,"L","R"
"acklefr01",1937,"USA",2002,"Fritz","Ackley",202,73,"L","R"
"acostcy01",1946,"Mexico",NULL,"Cy","Acosta",165,70,"R","R"
"acosted01",1944,"Panama",NULL,"Ed","Acosta",215,77,"B","R"
"acostjo01",1891,"Cuba",1977,"Jose","Acosta",134,66,"R","R"
"acostma01",1981,"Panama",NULL,"Manny","Acosta",215,76,"R","R"
"acostme01",1896,"Cuba",1963,"Merito","Acosta",140,67,"L","L"
"acrema01",1968,"USA",NULL,"Mark","Acre",235,80,"R","R"
"actama99",1969,"D.R.",NULL,"Manny","Acta",172,74,"R","R"
"adairbi99",1913,"USA",2002,"Bill","Adair",168,72,"R","R"
"adairje01",1936,"USA",1987,"Jerry","Adair",175,72,"R","R"
"adairji01",1907,"USA",1982,"Jimmy","Adair",154,70,"R","R"
"adamecr01",1991,"D.R.",NULL,"Cristhian","Adames",185,72,"B","R"
"adamsac01",1910,"USA",2006,"Ace","Adams",182,70,"R","R"
"adamsau01",1986,"USA",NULL,"Austin","Adams",200,71,"R","R"
"adamsau02",1991,"USA",NULL,"Austin","Adams",225,74,"R","R"
"adamsba01",1882,"USA",1968,"Babe","Adams",185,71,"L","R"
"adamsbe01",1891,"USA",1940,"Bert","Adams",185,73,"B","R"
"adamsbo01",1901,"USA",1996,"Bob","Adams",168,71,"R","R"
"adamsbo02",1907,"USA",1970,"Bob","Adams",165,72,"R","R"
"adamsbo03",1921,"USA",1997,"Bobby","Adams",160,70,"R","R"
"adamsbo04",1952,"USA",NULL,"Bob","Adams",200,74,"R","R"
"adamsbu01",1915,"USA",1990,"Buster","Adams",180,72,"R","R"
"adamsda01",1887,"USA",1964,"Dan","Adams",165,71,"R","R"
"adamsda02",1987,"USA",NULL,"David","Adams",205,74,"R","R"
"adamsdi01",1920,"USA",2016,"Dick","Adams",185,72,"R","L"
"adamsdo01",1943,"USA",NULL,"Doug","Adams",185,75,"L","R"
"adamsge01",1855,"USA",1920,"George","Adams",175,66,"R","R"
"adamsgl01",1947,"USA",NULL,"Glenn","Adams",180,73,"L","R"
"adamshe01",1928,"USA",2012,"Herb","Adams",160,69,"L","L"
"adamsji01",1868,"USA",NULL,"Jim","Adams",148,66,NULL,"R"
"adamsjo01",1877,"USA",1952,"Joe","Adams",190,72,"R","L"
"adamsjo02",1971,"USA",NULL,"Joel","Adamson",185,76,"L","L"
"adamska01",1891,"USA",1967,"Karl","Adams",170,74,"R","R"
"adamsla01",1989,"USA",NULL,"Lane","Adams",220,75,"R","R"
"adamsma01",1988,"USA",NULL,"Matt","Adams",260,75,"L","R"
"adamsmi01",1947,"USA",NULL,"Mike","Adamson",185,74,"R","R"
"adamsmi02",1948,"USA",NULL,"Mike","Adams",180,69,"R","R"
"adamsmi03",1978,"USA",NULL,"Mike","Adams",210,77,"R","R"
"adamsre01",1921,"USA",2017,"Red","Adams",185,72,"R","R"
"adamsri01",1878,"USA",1955,"Rick","Adams",165,72,"L","L"
"adamsri02",1959,"USA",2011,"Ricky","Adams",180,74,"R","R"
"adamsru01",1980,"USA",NULL,"Russ","Adams",205,72,"L","R"
"adamsry01",1987,"USA",NULL,"Ryan","Adams",185,71,"R","R"
"adamssp01",1894,"USA",1989,"Sparky","Adams",151,65,"R","R"
"adamssp02",1898,"USA",1970,"Spencer","Adams",158,69,"L","R"
"adamste01",1973,"USA",NULL,"Terry","Adams",180,75,"R","R"
"adamswi01",1890,"USA",1937,"Willie","Adams",180,76,"R","R"
"adamswi02",1972,"USA",NULL,"Willie","Adams",215,79,"R","R"
"adcocjo01",1927,"USA",1999,"Joe","Adcock",210,76,"R","R"
"adcocna01",1988,"USA",NULL,"Nathan","Adcock",235,76,"R","R"
"addisbo01",1925,"USA",2016,"Bob","Addis",175,72,"L","R"
"adducji01",1959,"USA",NULL,"Jim","Adduci",200,77,"L","L"
"adducji02",1985,"CAN",NULL,"Jim","Adduci",210,74,"L","L"
"addybo01",1842,"CAN",1910,"Bob","Addy",160,68,"L","L"
"adenhni01",1986,"USA",2009,"Nick","Adenhart",185,75,"R","R"
"aderhmo01",1915,"USA",1955,"Morrie","Aderholt",188,73,"L","R"
"adkinde01",1918,"USA",1998,"Dewey","Adkins",195,74,"R","R"
"adkindi01",1920,"USA",1955,"Dick","Adkins",165,70,"R","R"
"adkindo01",1872,"USA",1934,"Doc","Adkins",220,70,"R","R"
"adkingr01",1897,"USA",1966,"Grady","Adkins",175,71,"R","R"
"adkinhe01",1874,"USA",1953,"Harry","Atkinson",NULL,NULL,NULL,NULL
"adkinjo01",1977,"USA",NULL,"Jon","Adkins",200,72,"L","R"
"adkinst01",1964,"USA",NULL,"Steve","Adkins",210,78,"R","L"
"adlemti01",1987,"USA",NULL,"Tim","Adleman",225,77,"R","R"
"adlesda01",1943,"USA",2016,"Dave","Adlesh",187,72,"R","R"
"adriaeh01",1989,"Venezuela",NULL,"Ehire","Adrianza",170,73,"B","R"
"afenitr01",1963,"USA",NULL,"Troy","Afenir",185,76,"R","R"
"affelje01",1979,"USA",NULL,"Jeremy","Affeldt",225,76,"L","L"
"agbaybe01",1971,"USA",NULL,"Benny","Agbayani",225,72,"R","R"
"ageeto01",1942,"USA",2001,"Tommie","Agee",195,71,"R","R"
"agganha01",1929,"USA",1955,"Harry","Agganis",200,74,"L","L"
"aglerjo01",1887,"USA",1971,"Joe","Agler",165,71,"L","L"
"agnewsa01",1887,"USA",1951,"Sam","Agnew",185,71,"R","R"
"agostju01",1958,"P.R.",NULL,"Juan","Agosto",190,74,"L","L"
"aguaylu01",1959,"P.R.",NULL,"Luis","Aguayo",173,69,"R","R"
"aguilch01",1979,"USA",NULL,"Chris","Aguila",200,71,"R","R"
"aguilje01",1990,"Venezuela",NULL,"Jesus","Aguilar",250,75,"R","R"
"aguilri01",1961,"USA",NULL,"Rick","Aguilera",195,76,"R","R"
"aguirha01",1931,"USA",1994,"Hank","Aguirre",205,76,"R","L"
"ahearch01",1858,"USA",1919,"Bill","Ahearn",NULL,NULL,NULL,NULL
"ahearpa01",1969,"USA",NULL,"Pat","Ahearne",195,75,"R","R"
"ahmedni01",1990,"USA",NULL,"Nick","Ahmed",195,74,"R","R"
"aikenwi01",1954,"USA",NULL,"Willie","Aikens",220,75,"L","R"
"aingeda01",1959,"USA",NULL,"Danny","Ainge",175,76,"R","R"
"ainsmed01",1890,"Russia",1981,"Eddie","Ainsmith",180,71,"R","R"
"ainswku01",1978,"USA",NULL,"Kurt","Ainsworth",192,75,"R","R"
"aitchra01",1887,"USA",1958,"Raleigh","Aitchison",175,71,"R","L"
"aitonge01",1890,"USA",1976,"George","Aiton",175,71,"B","R"
"akejo01",1861,"USA",1887,"John","Ake",180,73,"R","R"
"akerfda01",1962,"USA",2012,"Darrel","Akerfelds",210,74,"R","R"
"akerja01",1940,"USA",NULL,"Jack","Aker",190,74,"R","R"
"akersbi01",1904,"USA",1962,"Bill","Akers",178,71,"R","R"
"akersje01",1887,"USA",1979,"Jerry","Akers",175,71,"R","R"
"albagi01",1960,"D.R.",NULL,"Gibson","Alba",160,74,"L","L"
"albaljo01",1982,"P.R.",NULL,"Jonathan","Albaladejo",270,77,"R","R"
"albanjo01",1933,"USA",2000,"Joe","Albanese",215,75,"R","R"
"alberan01",1985,"CAN",NULL,"Andrew","Albers",200,73,"R","L"
"alberbu01",1950,"USA",NULL,"Butch","Alberts",205,74,"R","R"
"albercy01",1882,"USA",1917,"Cy","Alberts",230,72,"R","R"
"albergu01",1860,"USA",1912,"Gus","Alberts",180,66,"R","R"
"alberha01",1992,"D.R.",NULL,"Hanser","Alberto",215,71,"R","R"
"alberjo01",1969,"P.R.",NULL,"Jose","Alberro",190,74,"R","R"
"alberma01",1983,"USA",NULL,"Matt","Albers",225,73,"L","R"
"albieoz01",1997,"Curacao",NULL,"Ozzie","Albies",160,69,"B","R"
"albosed01",1918,"USA",2003,"Ed","Albosta",175,73,"R","R"
"albreed01",1929,"USA",1979,"Ed","Albrecht",165,70,"R","R"
"albrija01",1921,"USA",1991,"Jack","Albright",175,69,"R","R"
"albural01",1986,"D.R.",NULL,"Al","Alburquerque",195,72,"R","R"
"alburvi01",1947,"USA",2017,"Vic","Albury",190,72,"L","L"
"alcalsa01",1952,"D.R.",NULL,"Santo","Alcala",195,77,"R","R"
"alcanar01",1991,"D.R.",NULL,"Arismendy","Alcantara",170,70,"B","R"
"alcanis01",1973,"D.R.",NULL,"Israel","Alcantara",180,74,"R","R"
"alcanra01",1992,"D.R.",NULL,"Raul","Alcantara",220,76,"R","R"
"alcansa01",1995,"D.R.",NULL,"Sandy","Alcantara",170,76,"R","R"
"alcanvi01",1993,"D.R.",NULL,"Victor","Alcantara",190,74,"R","R"
"alcarlu01",1941,"P.R.",NULL,"Luis","Alcaraz",165,69,"R","R"
"alcocsc01",1885,"USA",1973,"Scotty","Alcock",160,69,"R","R"
"alderda01",1918,"USA",1982,"Dale","Alderson",190,70,"R","R"
"aldremi01",1961,"USA",NULL,"Mike","Aldrete",180,71,"L","L"
"aldresc01",1968,"USA",NULL,"Scott","Aldred",195,76,"L","L"
"aldrico01",1979,"USA",NULL,"Cory","Aldridge",210,72,"L","R"
"aldrija01",1961,"USA",NULL,"Jay","Aldrich",210,75,"R","R"
"aldrivi01",1893,"USA",1973,"Vic","Aldridge",175,69,"R","R"
"alenoch01",1917,"USA",2003,"Chuck","Aleno",215,73,"R","R"
"alexabo01",1922,"CAN",1993,"Bob","Alexander",205,74,"R","R"
"alexada01",1903,"USA",1979,"Dale","Alexander",210,75,"R","R"
"alexado01",1950,"USA",NULL,"Doyle","Alexander",190,75,"R","R"
"alexaga01",1953,"USA",NULL,"Gary","Alexander",195,74,"R","R"
"alexage01",1968,"USA",NULL,"Gerald","Alexander",190,71,"R","R"
"alexahu01",1917,"USA",2000,"Hugh","Alexander",190,72,"R","R"
"alexama01",1947,"USA",NULL,"Matt","Alexander",168,71,"B","R"
"alexama02",1971,"D.R.",NULL,"Manny","Alexander",150,70,"R","R"
"alexani01",1858,"USA",1933,"Nin","Alexander",163,64,"R","R"
"alexape01",1887,"USA",1950,"Pete","Alexander",185,73,"R","R"
"alexasc01",1989,"USA",NULL,"Scott","Alexander",190,74,"L","L"
"alexawa01",1891,"USA",1978,"Walt","Alexander",165,70,"R","R"
"alfarja01",1977,"USA",NULL,"Jason","Alfaro",185,70,"R","R"
"alfarjo01",1993,"Colombia",NULL,"Jorge","Alfaro",225,74,"R","R"
"alfonan01",1972,"D.R.",NULL,"Antonio","Alfonseca",250,77,"R","R"
"alfoned01",1973,"Venezuela",NULL,"Edgardo","Alfonzo",210,71,"R","R"
"alfonel01",1979,"Venezuela",NULL,"Eliezer","Alfonzo",220,71,"R","R"
"alforan01",1994,"USA",NULL,"Anthony","Alford",215,73,"R","R"
"alicelu01",1965,"P.R.",NULL,"Luis","Alicea",165,69,"B","R"
"allanan01",1961,"USA",NULL,"Andy","Allanson",220,77,"R","R"
"allarbr01",1958,"USA",NULL,"Brian","Allard",175,73,"R","R"
"allenbe01",1939,"USA",NULL,"Bernie","Allen",175,72,"L","R"
"allenbo01",1867,"USA",1943,"Bob","Allen",175,71,"R","R"
"allenbo02",1894,"USA",1975,"Bob","Allen",180,70,"R","R"
"allenbo03",1914,"USA",2005,"Bob","Allen",165,73,"R","R"
"allenbo04",1937,"USA",NULL,"Bob","Allen",175,74,"L","L"
"allenbr01",1986,"USA",NULL,"Brandon","Allen",230,74,"L","R"
"allench01",1975,"USA",NULL,"Chad","Allen",195,73,"R","R"
"allenco01",1988,"USA",NULL,"Cody","Allen",210,73,"R","R"
"allendi01",1942,"USA",NULL,"Dick","Allen",187,71,"R","R"
"allendu01",1972,"USA",NULL,"Dusty","Allen",215,76,"R","R"
"allenet01",1904,"USA",1993,"Ethan","Allen",180,73,"R","R"
"allenfr01",1888,"USA",1933,"Frank","Allen",175,69,"R","L"
"allenga01",1955,"USA",NULL,"Gary","Allenson",185,71,"R","R"
"allengr01",1993,"USA",NULL,"Greg","Allen",175,72,"B","R"
"allenha01",1846,"USA",1881,"Ham","Allen",NULL,64,NULL,NULL
"allenha02",1940,"USA",NULL,"Hank","Allen",190,72,"R","R"
"allenhe01",1863,"USA",1916,"Hezekiah","Allen",160,71,NULL,NULL
"allenho01",1899,"USA",1981,"Horace","Allen",187,72,"L","R"
"allenja01",1855,"USA",1915,"Jack","Allen",160,NULL,"R","R"
"allenja02",1958,"USA",NULL,"Jamie","Allen",205,72,"R","R"
"allenje01",1972,"USA",NULL,"Jermaine","Allensworth",178,72,"R","R"
"allenjo01",1890,"USA",1967,"John","Allen",170,73,"R","R"
"allenjo02",1904,"USA",1959,"Johnny","Allen",180,72,"R","R"
"allenki01",1953,"USA",NULL,"Kim","Allen",175,71,"R","R"
"allenll01",1950,"USA",NULL,"Lloyd","Allen",185,73,"R","R"
"allenlu01",1978,"USA",NULL,"Luke","Allen",208,74,"L","R"
"allenmy01",1854,"USA",1924,"Myron","Allen",150,68,"R","R"
"allenne01",1958,"USA",NULL,"Neil","Allen",185,75,"R","R"
"allenni01",1888,"USA",1939,"Nick","Allen",180,72,"R","R"
"allenpe01",1868,"USA",1946,"Pete","Allen",185,68,"R","R"
"allenro01",1943,"USA",NULL,"Ron","Allen",205,75,"B","R"
"allenro02",1959,"USA",NULL,"Rod","Allen",185,73,"R","R"
"allensl01",1886,"USA",1959,"Sled","Allen",180,73,"R","R"
"alleyge01",1940,"USA",NULL,"Gene","Alley",160,70,"R","R"
"alliebo01",1952,"USA",NULL,"Bob","Allietta",190,72,"R","R"
"alliega01",1931,"USA",2016,"Gair","Allie",190,73,"R","R"
"allisan01",1848,"USA",1897,"Andy","Allison",150,70,NULL,NULL
"allisar01",1849,"USA",1916,"Art","Allison",150,68,NULL,NULL
"allisbi01",1850,"USA",1887,"Bill","Allison",NULL,NULL,NULL,NULL
"allisbo01",1934,"USA",1995,"Bob","Allison",205,75,"R","R"
"allisda01",1966,"USA",NULL,"Dana","Allison",215,75,"R","L"
"allisdo01",1846,"USA",1916,"Doug","Allison",160,70,"R","R"
"allisma01",1887,"USA",1964,"Mack","Allison",185,73,"R","R"
"allismi01",1890,"USA",1957,"Milo","Allison",163,72,"L","R"
"allrebe01",1965,"USA",NULL,"Beau","Allred",190,72,"L","L"
"almadme01",1913,"Mexico",1988,"Mel","Almada",170,72,"L","L"
"almanar01",1972,"USA",NULL,"Armando","Almanza",205,75,"L","L"
"almanca01",1973,"D.R.",NULL,"Carlos","Almanzar",166,74,"R","R"
"almeira01",1887,"Cuba",1969,"Rafael","Almeida",164,69,"R","R"
"almonab01",1989,"D.R.",NULL,"Abraham","Almonte",210,69,"B","R"
"almonbi01",1952,"USA",NULL,"Bill","Almon",180,75,"R","R"
"almoned01",1976,"D.R.",NULL,"Edwin","Almonte",200,75,"R","R"
"almoner01",1978,"D.R.",NULL,"Erick","Almonte",245,74,"R","R"
"almonhe01",1975,"D.R.",NULL,"Hector","Almonte",190,74,"R","R"
"almonmi01",1993,"D.R.",NULL,"Miguel","Almonte",210,74,"R","R"
"almonzo01",1989,"D.R.",NULL,"Zoilo","Almonte",205,72,"B","R"
"almoral01",1994,"USA",NULL,"Albert","Almora",190,74,"R","R"
"alomalu01",1923,"Cuba",1997,"Luis","Aloma",195,74,"R","R"
"alomaro01",1968,"P.R.",NULL,"Roberto","Alomar",184,72,"B","R"
"alomasa01",1943,"P.R.",NULL,"Sandy","Alomar",140,69,"B","R"
"alomasa02",1966,"P.R.",NULL,"Sandy","Alomar",200,77,"R","R"
"alonsyo01",1987,"Cuba",NULL,"Yonder","Alonso",230,73,"L","R"
"aloufe01",1935,"D.R.",NULL,"Felipe","Alou",195,72,"R","R"
"alouje01",1942,"D.R.",NULL,"Jesus","Alou",190,74,"R","R"
"alouma01",1938,"D.R.",2011,"Matty","Alou",160,69,"L","L"
"aloumo01",1966,"USA",NULL,"Moises","Alou",185,75,"R","R"
"alperwh01",1879,"USA",1942,"Whitey","Alpermann",180,70,"R","R"
"alstode01",1952,"USA",NULL,"Dell","Alston",180,72,"L","R"
"alstoga01",1971,"USA",NULL,"Garvin","Alston",185,74,"R","R"
"alstoto01",1926,"USA",1993,"Tom","Alston",210,77,"L","R"
"alstowa01",1911,"USA",1984,"Walter","Alston",195,74,"R","R"
"altampo01",1952,"Nicaragua",NULL,"Porfi","Altamirano",175,72,"R","R"
"altavda01",1992,"USA",NULL,"Dan","Altavilla",200,71,"R","R"
"altener01",1894,"USA",1981,"Ernie","Alten",175,72,"R","L"
"altenje01",1893,"USA",1973,"Jesse","Altenburg",158,69,"L","R"
"altheaa01",1991,"Germany",NULL,"Aaron","Altherr",215,77,"R","R"
"altizda01",1876,"USA",1964,"Dave","Altizer",160,70,"L","R"
"altmage01",1933,"USA",NULL,"George","Altman",200,76,"L","R"
"altobjo01",1932,"USA",NULL,"Joe","Altobelli",185,72,"L","L"
"altroni01",1876,"USA",1965,"Nick","Altrock",197,70,"B","L"
"altuvjo01",1990,"Venezuela",NULL,"Jose","Altuve",165,66,"R","R"
"alusige01",1935,"USA",NULL,"George","Alusik",175,75,"R","R"
"alvarab01",1982,"USA",NULL,"Abe","Alvarez",190,74,"L","L"
"alvarcl01",1968,"Venezuela",NULL,"Clemente","Alvarez",180,71,"R","R"
"alvarda01",1989,"D.R.",NULL,"Dario","Alvarez",170,73,"L","L"
"alvarda02",1988,"Cuba",NULL,"Dariel","Alvarez",180,74,"R","R"
"alvarga01",1974,"Mexico",NULL,"Gabe","Alvarez",185,73,"R","R"
"alvarhe01",1990,"Venezuela",NULL,"Henderson","Alvarez",205,72,"R","R"
"alvarjo01",1956,"USA",NULL,"Jose","Alvarez",170,70,"R","R"
"alvarjo02",1989,"Venezuela",NULL,"Jose","Alvarez",190,71,"L","L"
"alvarjo03",1995,"Venezuela",NULL,"Jose","Alvarado",240,72,"L","L"
"alvarju01",1973,"USA",NULL,"Juan","Alvarez",180,73,"L","L"
"alvarlu01",1949,"P.R.",2001,"Luis","Alvarado",162,69,"R","R"
"alvaror01",1952,"P.R.",2016,"Orlando","Alvarez",165,72,"R","R"
"alvaros01",1933,"Cuba",2008,"Ossie","Alvarez",165,70,"R","R"
"alvarpe01",1987,"D.R.",NULL,"Pedro","Alvarez",250,75,"L","R"
"alvarrj01",1991,"USA",NULL,"R. J.","Alvarez",225,74,"R","R"
"alvarro01",1938,"Cuba",2012,"Rogelio","Alvarez",183,71,"R","R"
"alvarta01",1971,"Mexico",NULL,"Tavo","Alvarez",245,75,"R","R"
"alvarto01",1979,"Venezuela",NULL,"Tony","Alvarez",200,73,"R","R"
"alvarvi01",1976,"Mexico",NULL,"Victor","Alvarez",150,70,"L","L"
"alvarwi01",1970,"Venezuela",NULL,"Wilson","Alvarez",175,73,"L","L"
"alvisma01",1938,"USA",NULL,"Max","Alvis",185,71,"R","R"
"alvorbi01",1863,"USA",1927,"Billy","Alvord",187,70,"R","R"
"alyeabr01",1940,"USA",NULL,"Brant","Alyea",215,75,"R","R"
"amalfjo01",1934,"USA",NULL,"Joey","Amalfitano",175,71,"R","R"
"amarari01",1962,"USA",NULL,"Rich","Amaral",175,72,"R","R"
"amarial01",1989,"Venezuela",NULL,"Alexi","Amarista",160,66,"L","R"
"amaroru01",1936,"Mexico",2017,"Ruben","Amaro",170,71,"R","R"
"amaroru02",1965,"USA",NULL,"Ruben","Amaro",170,70,"B","R"
"amblewa01",1915,"USA",1998,"Wayne","Ambler",165,68,"R","R"
"ambrech01",1979,"USA",NULL,"Chip","Ambres",190,73,"R","R"
"ambrihe01",1984,"USA",NULL,"Hector","Ambriz",235,74,"L","R"
"amelued01",1959,"USA",NULL,"Ed","Amelung",180,71,"L","L"
"amesre01",1882,"USA",1936,"Red","Ames",185,70,"B","R"
"amesst01",1988,"USA",NULL,"Steve","Ames",205,73,"R","R"
"amezaal01",1978,"Mexico",NULL,"Alfredo","Amezaga",165,71,"B","R"
"amoledo01",1874,"USA",1912,"Doc","Amole",165,69,"R","L"
"amorosa01",1930,"Cuba",1992,"Sandy","Amoros",170,67,"L","L"
"amorvi01",1932,"Cuba",NULL,"Vicente","Amor",182,75,"R","R"
"anckewa01",1893,"USA",1954,"Walter","Ancker",190,73,"R","R"
"anderal01",1914,"USA",1985,"Alf","Anderson",165,71,"R","R"
"anderal02",1964,"USA",NULL,"Allan","Anderson",178,71,"L","L"
"anderan01",1922,"USA",1982,"Andy","Anderson",172,71,"R","R"
"anderbi01",1895,"USA",1983,"Bill","Anderson",165,73,"R","L"
"anderbo01",1935,"USA",2015,"Bob","Anderson",210,76,"R","R"
"anderbr01",1964,"USA",NULL,"Brady","Anderson",170,73,"L","L"
"anderbr02",1972,"USA",NULL,"Brian","Anderson",190,73,"B","L"
"anderbr03",1982,"USA",NULL,"Brian","Anderson",220,74,"R","R"
"anderbr04",1988,"USA",NULL,"Brett","Anderson",230,75,"L","L"
"anderbr05",1986,"USA",NULL,"Bryan","Anderson",200,73,"L","R"
"anderbr06",1993,"USA",NULL,"Brian","Anderson",185,75,"R","R"
"anderbu01",1956,"USA",NULL,"Bud","Anderson",210,75,"R","R"
"anderch01",1987,"USA",NULL,"Chase","Anderson",200,73,"R","R"
"anderco01",1990,"USA",NULL,"Cody","Anderson",240,76,"R","R"
"andercr01",1938,"USA",NULL,"Craig","Anderson",205,74,"R","R"
"anderda01",1868,"USA",1897,"Dave","Anderson",NULL,NULL,NULL,"L"
"anderda02",1960,"USA",NULL,"Dave","Anderson",185,74,"R","R"
"anderdr01",1981,"USA",NULL,"Drew","Anderson",195,74,"L","R"
"anderdr02",1994,"USA",NULL,"Drew","Anderson",185,75,"R","R"
"anderdw01",1947,"USA",NULL,"Dwain","Anderson",165,71,"R","R"
"anderfe01",1918,"USA",1978,"Ferrell","Anderson",200,73,"R","R"
"anderfr01",1885,"USA",1957,"Fred","Anderson",180,74,"R","R"
"anderga01",1972,"USA",NULL,"Garret","Anderson",190,75,"L","L"
"anderge01",1889,"USA",1962,"George","Anderson",160,68,"L","R"
"andergo01",1880,"USA",1923,"Goat","Anderson",NULL,NULL,"L","R"
"anderha01",1904,"USA",1974,"Hal","Anderson",160,71,"R","R"
"anderha02",1931,"USA",1998,"Harry","Anderson",205,75,"L","R"
"anderja01",1979,"USA",NULL,"Jason","Anderson",188,72,"L","R"
"anderji01",1957,"USA",NULL,"Jim","Anderson",170,72,"R","R"
"anderji02",1976,"USA",NULL,"Jimmy","Anderson",195,73,"L","L"
"anderjo01",1873,"Norway",1949,"John","Anderson",180,74,"B","R"
"anderjo02",1929,"USA",1998,"John","Anderson",190,73,"R","R"
"anderjo03",1982,"USA",NULL,"Josh","Anderson",195,74,"L","R"
"anderke01",1963,"USA",NULL,"Kent","Anderson",180,73,"R","R"
"anderla01",1952,"USA",NULL,"Larry","Anderson",190,75,"R","R"
"anderla02",1953,"USA",NULL,"Larry","Andersen",200,75,"R","R"
"anderla03",1987,"USA",NULL,"Lars","Anderson",215,76,"L","L"
"anderma01",1976,"USA",NULL,"Matt","Anderson",200,76,"R","R"
"anderma02",1974,"USA",NULL,"Marlon","Anderson",190,70,"L","R"
"andermi01",1951,"USA",NULL,"Mike","Anderson",200,74,"R","R"
"andermi02",1966,"USA",NULL,"Mike","Anderson",200,75,"R","R"
"anderre01",1912,"USA",1972,"Red","Anderson",210,75,"R","R"
"anderri01",1953,"USA",1989,"Rick","Anderson",210,74,"R","R"
"anderri02",1956,"USA",NULL,"Rick","Anderson",175,72,"R","R"
"andersc01",1962,"USA",NULL,"Scott","Anderson",190,78,"R","R"
"andersp01",1934,"USA",2010,"Sparky","Anderson",170,69,"R","R"
"anderti01",1993,"USA",NULL,"Tim","Anderson",185,73,"R","R"
"anderty01",1989,"USA",NULL,"Tyler","Anderson",210,76,"L","L"
"anderva01",1866,"USA",1941,"Varney","Anderson",165,70,"R","R"
"anderwa01",1897,"USA",1990,"Walter","Anderson",160,74,"L","L"
"anderwi01",1886,"USA",1950,"Wingo","Anderson",150,70,"L","L"
